Throw,throwID,pID,ArmSlot,ArmSpd,MPH,sRotation,Stress,fit,lwr,upr
throw1,1,1,59,920,67.4,134,19,70.96,70.47,71.45
throw2,2,1,60,962,68.9,139,19,71.08,70.57,71.58
throw3,3,1,64,943,69.6,127,19,71.55,70.97,72.12
throw4,4,1,63,929,70.6,132,20,71.63,71.09,72.17
throw5,5,1,61,929,70.9,134,20,71.4,70.89,71.9
throw6,6,1,63,944,70.6,134,20,71.63,71.09,72.17
throw7,7,1,60,1051,72.2,139,21,71.49,71.01,71.96
throw8,8,1,63,917,71.1,131,26,72.86,72.38,73.34
throw9,9,1,61,1016,70.8,130,18,70.99,70.46,71.52
throw10,10,1,64,995,70.9,133,18,71.34,70.76,71.93
throw11,11,1,63,883,70.6,130,27,73.06,72.59,73.54
throw12,12,1,63,952,70.4,132,19,71.43,70.88,71.98
throw13,13,1,64,940,71.3,136,23,72.36,71.83,72.9
throw14,14,1,59,954,73.4,135,20,71.16,70.68,71.64
throw15,15,1,66,965,71.7,132,20,71.99,71.37,72.6
throw16,16,1,62,1027,71.4,132,20,71.52,70.99,72.04
throw17,17,1,62,1003,72.8,137,22,71.92,71.43,72.42
throw18,18,1,64,965,71.9,141,22,72.16,71.62,72.7
throw19,19,1,61,931,71.6,132,32,73.85,73.46,74.24
throw20,20,1,62,940,71.1,136,25,72.54,72.07,73.01
throw21,21,2,47,846,78.9,167,53,76.5,75.95,77.05
throw22,22,2,50,871,80.2,163,59,78.08,77.58,78.58
throw23,23,2,56,913,77.9,167,54,77.76,77.41,78.12
throw24,24,2,56,807,76,167,55,77.97,77.6,78.34
throw25,25,2,57,821,78.3,169,56,78.29,77.92,78.66
throw26,26,2,53,795,76.7,161,55,77.62,77.21,78.02
throw27,27,2,56,806,77.1,168,54,77.76,77.41,78.12
throw28,28,2,56,814,77.7,168,56,78.17,77.8,78.55
throw29,29,2,55,828,77.5,169,57,78.26,77.87,78.65
throw30,30,2,54,915,78.6,164,59,78.55,78.13,78.97
throw31,31,2,43,840,80.4,165,60,77.46,76.74,78.19
throw32,32,2,56,878,80.9,166,62,79.4,78.96,79.84
throw33,33,2,58,853,81.6,168,61,79.43,79.01,79.86
throw34,34,2,53,846,80.4,165,61,78.84,78.39,79.3
throw35,35,2,57,857,76.3,169,58,78.7,78.31,79.09
throw36,36,2,47,814,76.6,171,53,76.5,75.95,77.05
throw37,37,2,44,805,75.1,167,53,76.15,75.49,76.8
throw38,38,2,57,831,80.7,164,60,79.11,78.7,79.52
throw39,39,2,59,949,79.7,179,64,80.16,79.7,80.63
throw40,40,2,34,1080,75.8,177,57,75.79,74.74,76.85
throw41,41,3,62,855,81.2,150,61,79.9,79.43,80.38
throw42,42,3,54,943,82.6,149,73,81.42,80.83,82
throw43,43,3,59,899,83.3,150,71,81.59,81.04,82.15
throw44,44,3,62,895,83.1,150,75,82.77,82.13,83.4
throw45,45,3,56,963,82.3,145,76,82.26,81.65,82.88
throw46,46,3,61,841,79.7,147,59,79.38,78.94,79.81
throw47,47,3,65,836,80.7,152,69,81.89,81.27,82.51
throw48,48,3,58,962,83.4,150,75,82.3,81.69,82.9
throw49,49,3,62,908,81.1,156,76,82.97,82.32,83.62
throw50,50,3,58,822,79.9,152,64,80.05,79.59,80.51
throw51,51,3,58,879,78.8,153,72,81.68,81.12,82.24
throw52,52,3,58,861,79.7,154,70,81.27,80.74,81.81
throw53,53,3,57,829,79.5,151,68,80.75,80.24,81.25
throw54,54,3,56,846,81.4,153,73,81.65,81.08,82.23
throw55,55,3,62,865,80.6,151,75,82.77,82.13,83.4
throw56,56,3,57,856,81.7,154,75,82.18,81.58,82.78
throw57,57,3,60,851,80.7,151,72,81.92,81.34,82.49
throw58,58,3,60,852,80.4,156,71,81.71,81.15,82.27
throw59,59,3,63,904,81,154,75,82.88,82.23,83.54
throw60,60,3,60,884,81.6,153,74,82.33,81.73,82.93
throw61,61,4,44,890,70.8,152,27,70.83,70.15,71.51
throw62,62,4,45,909,71.3,153,26,70.74,70.1,71.39
throw63,63,4,47,935,71.5,150,28,71.39,70.82,71.96
throw64,64,4,48,966,72.4,148,31,72.12,71.6,72.64
throw65,65,4,47,954,70.8,151,29,71.59,71.03,72.16
throw66,66,4,48,882,70.6,147,29,71.71,71.18,72.24
throw67,67,4,47,868,70.4,153,24,70.57,69.97,71.17
throw68,68,4,47,915,70.8,152,28,71.39,70.82,71.96
throw69,69,4,47,999,70.2,153,27,71.18,70.61,71.76
throw70,70,4,47,869,68.9,155,27,71.18,70.61,71.76
throw71,71,4,47,899,68.9,152,23,70.37,69.76,70.97
throw72,72,4,45,922,70.6,155,24,70.34,69.67,71
throw73,73,4,45,955,70.6,154,26,70.74,70.1,71.39
throw74,74,4,49,898,70.5,150,24,70.81,70.26,71.35
throw75,75,4,47,974,71.3,154,25,70.78,70.18,71.37
throw76,76,4,44,959,71.7,157,24,70.22,69.52,70.91
throw77,77,4,48,972,71.5,151,27,71.3,70.75,71.85
throw78,78,4,50,951,70.6,149,24,70.92,70.41,71.44
throw79,79,4,54,989,71.5,154,25,71.6,71.17,72.03
throw80,80,4,52,989,70.9,149,29,72.18,71.75,72.61
throw81,81,5,71,799,74.4,142,32,75.03,74.33,75.73
throw82,82,5,68,889,76.6,146,38,75.9,75.33,76.47
throw83,83,5,71,885,75.3,149,33,75.23,74.54,75.93
throw84,84,5,62,916,77.5,145,40,75.61,75.23,75.98
throw85,85,5,67,927,78.6,144,31,74.35,73.79,74.91
throw86,86,5,63,908,77.2,146,32,74.09,73.65,74.52
throw87,87,5,61,964,77.3,142,32,73.85,73.46,74.24
throw88,88,5,62,900,77.8,143,34,74.38,73.98,74.78
throw89,89,5,66,972,76.8,148,40,76.08,75.58,76.57
throw90,90,5,63,895,75.3,145,35,74.7,74.28,75.12
throw91,91,5,68,934,76.8,149,33,74.88,74.29,75.47
throw92,92,5,61,927,76.8,145,35,74.47,74.09,74.84
throw93,93,5,63,932,76.1,150,41,75.93,75.53,76.33
throw94,94,5,60,927,77.8,145,36,74.55,74.2,74.9
throw95,95,5,62,963,77,143,44,76.42,76.05,76.8
throw96,96,5,59,955,75,143,36,74.44,74.1,74.77
throw97,97,5,60,983,73.3,138,37,74.76,74.41,75.1
throw98,98,5,60,979,75.3,144,37,74.76,74.41,75.1
throw99,99,5,61,972,76.7,146,38,75.08,74.72,75.44
throw100,100,5,56,1070,77.8,149,45,75.92,75.61,76.23
